date,platform,age_group,region,device,campaign_type,hour,impressions,month,click_rate,clicks,cpc,cost,conversion_rate,conversions,day,fatigue_factor
2025-01-01,Google,36-50,North India,Desktop,Text,8,79015,1,0.019919182407595534,1573,0.9,1415.7,0.09355188216607262,147,0,1.0
2025-01-02,Instagram,36-50,West India,Desktop,Video,7,90463,1,0.042704116051566696,3863,1.3,5021.900000000001,0.1405058894382506,541,1,0.99996
2025-01-03,Instagram,36-50,South India,Desktop,Image,9,34292,1,0.04112195994670877,1410,1.3,1833.0,0.1908216841939059,268,2,0.99992
2025-01-04,Instagram,26-35,North India,Mobile,Image,8,20491,1,0.036983202996786195,757,1.3,984.1,0.15475654322866764,116,3,0.99988
2025-01-05,Google,36-50,North India,Mobile,Video,7,58294,1,0.07698012596808487,4487,0.9,4038.3,0.1493055454991448,668,4,0.99984
2025-01-06,Google,18-25,North India,Mobile,Text,6,67629,1,0.032744759194737474,2214,0.9,1992.6000000000001,0.08526335339497028,187,5,0.9998
2025-01-07,Google,36-50,South India,Mobile,Text,21,97544,1,0.026923080228490215,2626,0.9,2363.4,0.13283531742324536,347,6,0.99976
2025-01-08,Instagram,18-25,South India,Mobile,Text,23,66640,1,0.05682891386977352,3787,1.3,4923.1,0.045609510984076986,171,7,0.99972
2025-01-09,Instagram,36-50,West India,Mobile,Image,5,19123,1,0.07263384699457776,1388,1.3,1804.4,0.17224514753262843,238,8,0.99968
2025-01-10,Instagram,36-50,North India,Mobile,Image,1,93472,1,0.06210586390248641,5805,1.3,7546.5,0.11082807291542367,642,9,0.99964
2025-01-11,Google,18-25,South India,Desktop,Image,8,65618,1,0.03955386511379884,2595,0.9,2335.5,0.12142972994826594,314,10,0.9996
2025-01-12,Instagram,36-50,North India,Mobile,Image,8,84596,1,0.09516598498350741,8050,1.3,10465.0,0.0766810319307166,616,11,0.99956
2025-01-13,Instagram,36-50,North India,Desktop,Image,18,25288,1,0.10278188735328489,2599,1.3,3378.7000000000003,0.03845080280428865,98,12,0.99952
2025-01-14,Google,36-50,West India,Mobile,Text,8,90947,1,0.025002757253069916,2273,0.9,2045.7,0.041287939898684005,92,13,0.99948
2025-01-15,Google,26-35,South India,Desktop,Video,1,46091,1,0.047643757697980176,2195,0.9,1975.5,0.10140396303532705,221,14,0.99944
2025-01-16,Google,18-25,South India,Mobile,Text,18,79872,1,0.04981360850283414,3978,0.9,3580.2000000000003,0.10828840526452278,429,15,0.9994
2025-01-17,Google,36-50,North India,Desktop,Text,15,60216,1,0.059671780158712454,3593,0.9,3233.7000000000003,0.041748754821612936,149,16,0.99936
2025-01-18,Google,18-25,North India,Mobile,Image,21,78162,1,0.0824265637526698,6442,0.9,5797.8,0.16728291718888672,1076,17,0.99932
2025-01-19,Google,18-25,West India,Mobile,Video,13,59785,1,0.04397284366626724,2628,0.9,2365.2000000000003,0.11704141153037972,306,18,0.99928
2025-01-20,Google,18-25,West India,Desktop,Video,19,51997,1,0.07521615954996405,3911,0.9,3519.9,0.10114133568027904,394,19,0.99924
2025-01-21,Instagram,36-50,West India,Mobile,Text,23,70037,1,0.06936172921935134,4857,1.3,6314.1,0.09649838110642542,467,20,0.9992
2025-01-22,Google,36-50,West India,Mobile,Video,0,51693,1,0.0653747721035305,3379,0.9,3041.1,0.05891774746406037,198,21,0.99916
2025-01-23,Google,18-25,West India,Desktop,Text,12,83386,1,0.03752264358123132,3128,0.9,2815.2000000000003,0.1352036301552619,421,22,0.99912
2025-01-24,Google,26-35,West India,Desktop,Text,21,36712,1,0.044998477807729614,1651,0.9,1485.9,0.0887729790901502,145,23,0.99908
2025-01-25,Google,18-25,North India,Mobile,Text,1,87214,1,0.03135735889799385,2734,0.9,2460.6,0.05246081826283738,142,24,0.99904
2025-01-26,Instagram,26-35,West India,Mobile,Text,21,16905,1,0.06883894226773468,1163,1.3,1511.9,0.05324639710453956,60,25,0.999
2025-01-27,Google,18-25,North India,Mobile,Image,13,2591,1,0.026659517328404693,69,0.9,62.1,0.08600692904725402,4,26,0.99896
2025-01-28,Google,18-25,North India,Mobile,Video,0,61159,1,0.05591174484502077,3419,0.9,3077.1,0.13710870500425057,467,27,0.99892
2025-01-29,Instagram,18-25,South India,Desktop,Image,14,14522,1,0.06239236394368598,906,1.3,1177.8,0.10820350212261756,97,28,0.99888
2025-01-30,Google,36-50,North India,Mobile,Image,17,82689,1,0.061867192517315366,5115,0.9,4603.5,0.11737404600860712,599,29,0.99884
2025-01-31,Instagram,26-35,North India,Mobile,Image,8,4572,1,0.08467508598903367,387,1.3,503.1,0.13182854007179942,50,30,0.9988
2025-02-01,Google,26-35,West India,Desktop,Text,21,62680,2,0.06190587047257808,3880,0.9,3492.0,0.12307016271849403,476,31,0.99876
2025-02-02,Google,18-25,North India,Mobile,Text,7,59537,2,0.06323581386288162,3764,0.9,3387.6,0.07762802601213147,291,32,0.99872
2025-02-03,Instagram,36-50,West India,Mobile,Image,6,34061,2,0.07841473373636962,2670,1.3,3471.0,0.14038046361799356,373,33,0.99868
2025-02-04,Instagram,36-50,West India,Mobile,Image,8,92033,2,0.05358635194285855,4931,1.3,6410.3,0.059810609449224096,293,34,0.99864
2025-02-05,Instagram,26-35,West India,Mobile,Video,8,88778,2,0.05915970875251502,5252,1.3,6827.6,0.13420016164762297,703,35,0.9986
2025-02-06,Google,36-50,South India,Mobile,Image,10,67874,2,0.07254880686880802,4924,0.9,4431.6,0.055167266396435134,270,36,0.99856
2025-02-07,Google,26-35,West India,Mobile,Text,3,61542,2,0.05378446615497089,3310,0.9,2979.0,0.0630485700052554,207,37,0.99852
2025-02-08,Instagram,26-35,North India,Mobile,Image,6,62907,2,0.09121070211114887,5737,1.3,7458.1,0.11556382970347973,660,38,0.99848
